label,content
1,"ultimately , it ponders the reasons we need stories so much ."
1,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .
1,illuminating if overly talky documentary .
1,a masterpiece four years in the making .
1,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
1,offers a breath of the fresh air of true sophistication .
1,"a thoughtful , provocative , insistently humanizing film ."
1,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
1,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .
0,a minor picture with a major identity crisis -- it's sort of true and it's sort of bogus and it's ho-hum all the way through .
0,the movie succumbs to being nothing more than a formulaic chase in the dark .
0,"plays as hollow catharsis , with lots of tears but very little in the way of insights ."
0,"it will come as no surprise that the movie isn't scary . but here's the real damn : it isn't funny , either ."
0,quick : who wants to see a comedy about shoddy airport security ?
0,"the reason i found myself finally unmoved by this film , which is immaculately produced and has serious things to say , is that it comes across rather too plainly as allegory ."
0,"what you get with empire is a movie you've seen many times before , repackaged as new material because there is a latino in the lead ."
0,cho's fans are sure to be entertained ; it's only fair in the interest of full disclosure to say that -- on the basis of this film alone -- i'm not one of them .
0,looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter's imagination .
0,"the period -- swinging london in the time of the mods and the rockers -- gets the once-over once again in gangster no . 1 , but falls apart long before the end ."
0,high crimes miscasts nearly every leading character .
0,"the overall feel of the film is pretty cheesy , but there's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction ."
